id;order_id;product_id;quantity
1568b3d9-a517-44d2-a260-82951cd6bc82;4cf3b013-da5e-4dee-8840-69ecf81c05aa;85569425-7309-4f47-8972-10e2ab50e3df;23187
e6fd64be-ad9e-4bb3-bc68-4cc75a4b2519;f03d6946-5516-4cbe-88a0-d62e148fbe9d;89777b1c-88cc-477d-af09-b0a494c909f8;25506
03f227c2-a685-40ea-8eb8-992428ec5bfc;2727fb3a-2f34-4144-98e6-774b6f49e8a4;dafe98e1-e7eb-45b7-839f-9bbc3be0fd3e;24774
1204942c-6f38-4858-a1e3-95d462986f0b;c80c983d-bccc-40ee-bc0e-09aadf234b88;d90e04f5-beee-4c99-ad80-3ce2dbd265cc;57861
b0072141-c8df-441c-9e1a-8d323798e9e9;3d6474ad-c4c8-42f2-9329-d16c81c1d57c;daa4dfcd-0138-4f5b-8daf-91bc55990feb;44633
3d706d5d-20f9-42e2-b3f7-b077b9206afc;bb82897a-6d3d-434c-b049-f820ee678abc;63a40815-6cd5-4f55-9fd8-5a15e05e4c98;29452
bceb8d9f-dd7d-4b87-b0cd-ec9d5811dd8f;32dc2c10-b6c7-4189-9dcc-b71d416c8423;7ba76c52-136a-4f34-8e56-24ee8f205dd5;87580
0c47f155-6b43-4c8e-b38c-68993e96504f;51878fce-84ee-4321-a29f-60faba7883f7;8ca5572c-b50b-4354-9db7-48db97f4abb8;33683
70607674-45cc-45ff-a51c-fc4469b03857;ff19da3c-c023-419f-b40a-ae778eb6ba4a;f25a24b8-2998-43bc-b79e-fea335651624;21479
4547f027-ec75-4f57-9a3a-be98529ee843;0b46a8a0-fbae-4ca0-b914-a073d8f1202c;7b4f2c71-ffc5-4e47-a7ce-f8c392b2eb92;29256
