id;name;description;price
3090a85f-db9c-465e-bc55-cb21cecea3b7;withdrawal THX Division;Metal;83023
6b9615f8-7edd-448a-8730-9b8258724b00;Business-focused;Rubber;95238
634f17fc-f59e-43c0-9ed8-9f3108264847;Crossroad CSS;De-engineered;47207
e70134eb-9049-4cda-ac5f-c9c7ec4c3d21;Arizona mobile;AGP lavender;71562
c53675d0-e969-4014-a411-f01a2468fc20;solution Zimbabwe Games;Account transmit Incredible;88593
de880f12-43a1-44e5-8d16-ef048ebc7c99;Vista;Sausages Tuna;42121
5bf17a24-54cf-4d17-b4b3-fafc6895a23d;Soft;deposit clear-thinking focus;25664
986a1038-37f4-44d9-ac65-9856522a2379;pixel Dollar;markets;98878
4032250f-c18c-42f4-886e-c1e4878fedfa;mint;withdrawal Facilitator Nebraska;96873
be4e6ddf-93f2-4ca8-98de-238c69674a90;Functionality multi-tasking;primary Plastic;67862
