id;user_id;shipping_id;payment_id
75bbbeca-5faa-49a0-b384-ec78767c7f9c;42e95a0d-7960-4669-abb9-78d726b2279f;e84a10ce-26d3-4a4f-8b9d-197474374714;e50f17a5-ceb0-4ade-87d7-26279fbcad80
2d069c8f-9d45-4274-aa7e-daced11270f4;bf5e6249-f1d2-47d2-811f-42125f75c430;b8494e23-c0ff-4d3a-bea9-d3d1d8fda898;1ce6655d-e944-4037-81ff-6a8ac490de4e
6ca22632-8a48-4a93-a41f-87808cf3a58c;f3db954c-bc87-44d9-b26f-820fb533f2be;81e6de2a-98ab-4499-a41d-86c57abe1080;742ba427-6a8e-4810-9119-fe0caca9933d
b8b6d6c6-1129-452b-ad6b-d1e81ce98aea;0d1c5792-c50d-41fb-bd4e-5b80a59091bf;65803745-6f49-48a7-98b9-b98e0e2095e2;cbbff141-4a40-47e4-b259-e5d6159ab52a
88e26aaf-a07d-437b-b38d-6a8a19319c55;f0efcf7e-c1d4-443f-be84-fa9d13bbc841;1f37a5d9-259f-49a4-a7c2-bb17481bb90e;d149f835-238f-41bc-93ae-24e075cf3baf
312f10eb-1dff-4164-8322-546775280c43;713d1131-ffbf-4711-adcd-33a1aecf77b1;fc8961b4-c093-4453-9ba0-bf8afed499f5;8456614b-a369-4f05-97be-9069001a5ffb
caa4feb1-246e-483f-994b-c9d99f9079aa;b6c060cc-66ea-4d5d-bdbb-b0836a4c24dc;b0804a74-cd93-4706-9d4e-401bfd6d09ee;9d434ed5-fe33-4efd-8bca-09bb65b10a3b
76c67ae3-6544-412c-b731-c48ac8b2ff36;bca237a7-e5bb-4f0d-b0cd-85f1518298af;da4ed92b-cb08-4950-92a2-b05508a49aba;64ed85bb-20d8-4bfa-a3eb-63ce08941ac9
a8415dad-4c63-488b-aae9-2d5aa29ac3d9;46250cca-a1f8-47be-8e75-1e3139642ab1;722f54f7-1f47-40f9-af18-447dd4c447d9;279dfae6-c33b-4eca-b587-2ec824acce8d
d215dfa9-7262-437f-bea6-096558cf61b0;cc0899d1-68c3-4032-940f-5f7d5596f061;75e9adba-5e2b-4368-aaa6-0b2339f17927;ddd3de99-a7f0-4206-bf27-0e74ad800d58
